Export Page Cols:,O2,O3,O4,Temp Adj ROI,Temp Adj ROI SD,Temp Adj Max,Temp Adj Max SD,Max eV,Max eV SD,Energy (mJ),Energy (mJ) SD,Energy Adjusted Max,Lineout Integrated,Lineout Integrated SD,,,,,,,,,,,,,,,,,,,,,22.3930474,0.24,192.8794427,0.24,,,,,,,,,0.00655355,,,,,,,,,,,,,NORMALIZED ENERGY,NORMALIZED FLUX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SN,Temp (C),TimeStamp,Mean ROI,Max ROI,Energy,BG Subtracted Value,BG Raw Value,Integrated under Lineout,TL Motor SN,TL Foc,TL Trans,Energy SN,Energy (J),Centroid SRSI,,Dazz SN,Delay,Ordern 2,Order 3,Order 4,,,,,,Temp,Standard Dev (SD),ROI Mean,Standard Dev (SD),ROI Max,Standard Dev (SD),MeV at Max,Standard Dev (SD),BG Side Mean,Standard Dev (SD),BG Side Mean Raw,Standard Dev (SD),Integral Under Lineout,Standard Dev (SD),Standard Dev (SD),Standard Dev (SD),TFoc (mm),Standard Dev (SD),TTrans (mm),Standard Dev (SD),"Energy (mJ, uncal)",Standard Dev (SD),Del,Standard Dev (SD),O2,Standard Dev (SD),O3,Standard Dev (SD),O4,Standard Dev (SD),Reps per setting,Centroid SRSI,Centroid SRSI SD,,
,176264,77,16:06:00,11.75887664,37.21437143,0.61525,33.76562857,204.2520286,27078.3274,176264,18.44997668,2.399982509,176264,0.005383037493,805.9941875,,176264,4400,34800,11000,-5350000,,,,,1,77,0,12.7171,1.81327,38.8631,3.91599,0.603626,0.0368564,33.5889,0.10,204.075,1.04E-01,29285.7,4177.26,176262,1.41421,18.45,0,2.39998,0,0.00510008,0.000179627,4400,0,3.48E+04,0,1.10E+04,0,-5.35E+06,0,5,805.626,0.279636,0.7782163865,49.93868116
,176263,77,16:05:58,14.1277562,41.54328571,0.560818,33.55671429,204.0431143,32535.637,176263,18.44997668,2.399982509,176263,0.005132120722,805.611789,,176263,4400,34800,11000,-5350000,,,,,2,77,0,38.0869,12.1943,86.8411,22.7735,0.894301,0.17606,33.4989,0.12,203.985,1.21E-01,87729.9,28093.3,176257,1.41421,18.45,0,2.39998,0.00E+00,0.00448369,1.25E-04,4400,0,3.53E+04,0,3.00E+03,0,-5.05E+06,0,5,807.423,0.499123,0.6841620191,126.9306065
,176262,77,16:05:55,15.53008532,45.13946032,0.629348,33.64053968,204.1269397,35765.90711,176262,18.44997668,2.399982509,176262,0.004867474784,805.546651,,176262,4400,34800,11000,-5350000,,,,,3,77,0,36.9756,13.0935,85.1383,25.006,0.917002,0.128608,33.3777,0.06,203.864,6.24E-02,85171.2,30164.3,176252,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00223856,8.53E-05,4400,0,3.52E+04,0,-1.30E+04,0,-4.75E+06,0,5,808.648,0.217332,0.3415797545,249.2486715
,176261,77,16:05:53,11.46338408,35.79184762,0.651898,33.48815238,203.9745524,26397.22507,176261,18.44997668,2.399982509,176261,0.005165512472,805.417324,,176261,4400,34800,11000,-5350000,,,,,4,77,0,17.2944,6.72192,45.1827,13.6586,0.559963,0.0615983,33.2493,0.11,203.736,1.08E-01,39830.8,15484.5,176247,1.41421,18.45,0,2.39998,0.00E+00,0.00367097,1.39E-04,4400,0,3.47E+04,0,-9.00E+03,0,-4.45E+06,0,5,807.003,0.247062,0.5601498425,80.66180971
,176260,77,16:05:50,10.70539742,34.6266127,0.560818,33.4933873,203.9797873,24651.43904,176260,18.44997668,2.399982509,176260,0.004952257583,806.0816438,,176260,4400,34800,11000,-5350000,,,,,5,77,0,12.7314,4.98834,36.3011,8.56196,0.587711,0.0680194,33.2749,0.08,203.761,7.76E-02,29318.5,11491.6,176242,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00407047,7.16E-05,4400,0,3.44E+04,0,-1.30E+04,0,-4.45E+06,0,5,805.218,0.209279,0.6211091698,58.44560306
,176259,77,16:05:48,57.8851442,121.8066286,1.059188,33.67337143,204.1597714,133341.7256,176259,18.44997668,2.399982509,176259,0.004293888518,805.5261682,,176259,4400,35300,3000,-5050000,,,,,6,77,0,14.3464,7.77139,42.5376,20.2482,0.657131,0.152433,33.1344,0.10,203.621,9.74E-02,33039,17903.6,176237,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00564876,8.69E-05,4400,0,3.45E+04,0,1.50E+04,0,-4.45E+06,0,5,802.89,0.155869,0.8619389491,49.35105908
,176258,77,16:05:45,20.96961215,53.60493333,0.629348,33.37506667,203.8614667,48296.01147,176258,18.44997668,2.399982509,176258,0.004631163885,805.6744307,,176258,4400,35300,3000,-5050000,,,,,7,77,0,46.8123,8.37462,102.918,12.7461,1.00901,0.0687323,33.1702,0.07,203.657,7.19E-02,107831,19293.6,176232,1.41421,18.45,0,2.39998,0.00E+00,0.00549965,7.89E-05,4400,0,3.53E+04,0,2.30E+04,0,-4.75E+06,0,5,805.478,0.285869,0.8391863952,122.6402151
,176257,77,16:05:43,33.67035089,78.98203492,0.737978,33.45796508,203.9443651,77554.93642,176257,18.44997668,2.399982509,176257,0.004599603314,805.1569124,,176257,4400,35300,3000,-5050000,,,,,8,77,0,12.1695,3.23769,35.7514,7.02112,0.522152,0.0450836,33.0086,0.14,203.495,1.38E-01,28024.5,7458.85,176227,1.41421,18.45,0,2.39998,0,0.00538599,0.000114293,4400,0,3.44E+04,0,-1.30E+04,0,-5.05E+06,0,5,807.043,0.366331,0.8218431232,43.50148951
,176256,77,16:05:40,43.28630888,99.53327937,1.010372,33.60672063,204.0931206,99707.65238,176256,18.44997668,2.399982509,176256,0.004402225272,807.6876649,,176256,4400,35300,3000,-5050000,,,,,9,77,0,31.6194,15.9591,73.4552,31.1647,0.772576,0.213382,33.0008,0.10,203.487,9.82E-02,72830,36765.1,176222,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00213284,6.19E-05,4400,0,3.50E+04,0,-1.70E+04,0,-4.45E+06,0,5,809.204,0.359128,0.3254480396,225.704847
,176255,77,16:05:38,34.62308294,80.27870794,1.034618,33.38129206,203.8676921,79749.20438,176255,18.44997668,2.399982509,176255,0.004491585628,807.7950987,,176255,4400,35300,3000,-5050000,,,,,10,77,0,27.6715,10.9943,65.3911,21.8326,0.660471,0.113127,32.8889,0.11,203.375,1.06E-01,63736,25328,176217,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00649769,7.13E-05,4400,0,3.48E+04,0,2.70E+04,0,-4.45E+06,0,5,807.849,0.143735,0.9914763754,65.95326084
,176254,77,16:05:35,56.89278611,125.5281333,0.991738,33.33186667,203.8182667,131055.4211,176254,18.44997668,2.399982509,176254,0.002072282107,806.5095927,,176254,4400,35200,-13000,-4750000,,,,,11,77,0,21.5511,11.7716,55.362,21.6701,0.760833,0.167579,32.85,0.16,203.336,1.56E-01,49636.6,27118.9,176212,1.41421,18.45,0,2.39998,0,0.00479433,0.000126806,4400,0,3.51E+04,0,-5.00E+03,0,-5.35E+06,0,5,805.3,0.320466,0.731562283,75.67640006
,176253,77,16:05:33,22.49883814,56.74815238,0.660218,33.37184762,203.8582476,51819.93493,176253,18.44997668,2.399982509,176253,0.002267670877,806.9169308,,176253,4400,35200,-13000,-4750000,,,,,12,77,0,38.6093,9.26545,89.4848,19.1654,0.896402,0.136692,32.9352,0.11,203.422,1.14E-01,88934.1,21344.9,176207,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00288775,5.90E-05,4400,0,3.47E+04,0,-9.00E+03,0,-4.15E+06,0,5,802.535,0.325089,0.440639043,203.0795987
,176252,77,16:05:30,22.48537455,60.47717143,0.98645,33.42282857,203.9092286,51789.1358,176252,18.44997668,2.399982509,176252,0.002258503594,808.2331868,,176252,4400,35200,-13000,-4750000,,,,,13,77,0,40.6524,6.02034,88.034,11.6286,1.02354,0.111002,32.854,0.12,203.34,1.25E-01,93640.5,13869.1,176202,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00261198,3.69E-05,4400,0,3.54E+04,0,-9.00E+03,0,-5.05E+06,0,5,803.912,0.291819,0.3985595593,220.8804128
,176251,77,16:05:28,41.42563204,90.82651746,0.975922,33.29348254,203.7798825,95423.26971,176251,18.44997668,2.399982509,176251,0.002279908472,807.5542006,,176251,4400,35200,-13000,-4750000,,,,,14,77,0,23.7079,10.5455,60.061,21.7295,0.679474,0.177803,32.639,0.08,203.125,8.34E-02,54605.8,24294.9,176197,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00207122,9.96E-05,4400,0,3.53E+04,0,-2.10E+04,0,-4.45E+06,0,5,805.731,0.29623,0.3160455021,190.0390912
,176250,77,16:05:25,41.57541796,92.11161587,0.970682,33.46838413,203.9547841,95768.48136,176250,18.44997668,2.399982509,176250,0.002314422459,807.4106365,,176250,4400,35200,-13000,-4750000,,,,,15,77,0,24.0515,6.87194,61.1717,13.3172,0.830066,0.135638,32.5763,0.07,203.063,7.23E-02,55396.8,15831.1,176192,1.41421,18.45,0,2.39998,0,0.00316291,0.000129814,4400,0,3.53E+04,0,-9.00E+03,0,-5.05E+06,0,5,807.594,0.349689,0.4826254473,126.7477717
,176249,77,16:05:23,10.44468686,29.74446984,0.629348,33.41553016,203.9019302,24051.84404,176249,18.44997668,2.399982509,176249,0.003666962165,807.2805338,,176249,4400,34700,-9000,-4450000,,,,,16,77,0,27.5819,9.13555,69.4379,20.8139,0.818723,0.177035,32.6101,0.14,203.097,1.38E-01,63529.5,21045.5,176187,1.41421,18.45,0,2.39998,0.00E+00,0.00590992,8.83E-05,4400,0,3.51E+04,0,2.30E+04,0,-5.35E+06,0,5,807.815,0.245753,0.9017891067,77.0001539
,176248,77,16:05:20,13.32375347,38.18644444,0.523858,33.29355556,203.7799556,30684.62156,176248,18.44997668,2.399982509,176248,0.00346912683,808.5119644,,176248,4400,34700,-9000,-4450000,,,,,17,77,0,28.8548,4.85529,69.0984,10.5527,0.758028,0.137452,32.4576,0.17,202.944,1.69E-01,66462.4,11185.1,176182,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00363878,7.56E-05,4400,0,3.54E+04,0,-9.00E+03,0,-5.35E+06,0,5,804.712,0.204181,0.5552380008,124.4482544
,176247,77,16:05:18,29.77569345,69.67149206,0.629348,33.08850794,203.5749079,68582.72622,176247,18.44997668,2.399982509,176247,0.003593614378,808.9178502,,176247,4400,34700,-9000,-4450000,,,,,18,77,0,30.6512,14.7622,73.6826,30.7896,0.788153,0.18493,32.3974,0.05,202.884,4.63E-02,70601.8,34007.6,176177,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00343267,1.08E-04,4400,0,3.51E+04,0,-1.30E+04,0,-5.05E+06,0,5,801.908,0.232764,0.5237878707,140.6725969
,176246,77,16:05:15,18.20683125,48.8298,0.471418,33.2502,203.7366,41931.1194,176246,18.44997668,2.399982509,176246,0.003743085422,808.4038311,,176246,4400,34700,-9000,-4450000,,,,,19,76.8,0.4,28.695,16.8072,71.3052,34.1076,0.837632,0.157157,32.3228,0.11,202.809,1.05E-01,66094.9,38719.3,176172,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00436912,5.80E-05,4400,0,3.50E+04,0,-1.70E+04,0,-5.35E+06,0,5,803.501,0.200825,0.6666798911,106.9556784
,176245,77,16:05:13,14.72126553,39.48148254,0.545842,33.19851746,203.6849175,33903.76429,176245,18.44997668,2.399982509,176245,0.003882036342,809.0370076,,176245,4400,34700,-9000,-4450000,,,,,20,76,0,43.4397,5.32646,96.4601,12.9856,0.954576,0.119126,32.3879,0.13,202.874,1.30E-01,100061,12270.6,176167,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00444486,1.04E-04,4400,0,3.48E+04,0,3.00E+03,0,-4.15E+06,0,5,804.701,0.505564,0.6782369861,142.2218221
,176244,77,16:05:10,12.97698348,38.24534286,0.516658,33.31465714,203.8010571,29884.8646,176244,18.44997668,2.399982509,176244,0.004205018367,808.6385462,,176244,4400,34400,-13000,-4450000,,,,,21,76,0,17.6577,12.8837,46.8354,27.7703,0.712021,0.252031,32.2206,0.17,202.707,1.72E-01,40668.6,29680.8,176162,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.0062647,0.000182752,4400,0,3.46E+04,0,2.30E+04,0,-4.45E+06,0,5,807.28,0.266324,0.9559246515,48.99486578
,176243,77,16:05:08,7.269708383,26.59298095,0.516658,33.40701905,203.893419,16736.85513,176243,18.44997668,2.399982509,176243,0.004023598593,808.7428764,,176243,4400,34400,-13000,-4450000,,,,,22,76,0,15.7567,3.80677,43.1364,9.39894,0.640697,0.0918109,32.0516,0.09,202.538,8.73E-02,36288.1,8769.72,176157,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00240104,6.25E-05,4400,0,3.54E+04,0,-1.70E+04,0,-4.15E+06,0,5,808.602,0.0890807,0.3663724241,117.7392106
,176242,77,16:05:05,12.72253348,37.54769841,0.591538,33.21230159,203.6987016,29297.10944,176242,18.44997668,2.399982509,176242,0.004037210476,808.4867095,,176242,4400,34400,-13000,-4450000,,,,,23,76,0,34.5973,6.10872,80.0388,11.5261,1.05224,0.0520688,32.1012,0.15,202.588,1.53E-01,79691.6,14073.1,176152,1.41421,18.45,0,2.39998,0,0.00371587,5.71E-05,4400,0,3.53E+04,0,-5.00E+03,0,-5.05E+06,0,5,805.287,0.277312,0.567001091,141.1616331
,176241,77,16:05:03,8.984635665,28.47546032,0.61525,33.24453968,203.7309397,20687.10511,176241,18.44997668,2.399982509,176241,0.004006391627,808.446781,,176241,4400,34400,-13000,-4450000,,,,,24,76,0,21.4144,7.10997,55.0608,14.8286,0.728246,0.144418,32.0432,0.02,202.53,1.69E-02,49321.9,16379.7,176147,1.41421,18.45,0,2.39998,0,0.0021058,3.16E-05,4400,0,3.53E+04,0,-1.70E+04,0,-4.15E+06,0,5,801.656,0.214925,0.3213220316,171.3570642
,176240,77,16:05:00,21.70295099,50.64381905,0.69845,33.19618095,203.682581,49986.38527,176240,18.44997668,2.399982509,176240,0.004080110663,806.5613828,,176240,4400,34400,-13000,-4450000,,,,,25,76,0,29.7333,7.00729,71.4279,15.2503,0.825972,0.183077,32.0401,0.10,202.526,1.03E-01,68486.4,16144.1,176142,1.41421,18.45,0,2.39998,0,0.00508987,0.000108593,4400,0,3.47E+04,0,3.00E+03,0,-4.45E+06,0,5,802.626,0.257311,0.7766584523,91.96822592
,176239,77,16:04:58,18.22249916,51.86943492,0.607282,33.29056508,203.7769651,41968.04862,176239,18.44997668,2.399982509,176239,0.005712121856,806.7469364,,176239,4400,34500,15000,-4450000,,,,,26,76,0,15.083,5.24891,43.4182,12.4051,0.593602,0.087653,31.8778,0.09,202.364,8.74E-02,34736.1,12092.2,176137,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00496143,1.74E-04,4400,0,3.49E+04,0,7.00E+03,0,-5.05E+06,0,5,803.714,0.21086,0.7570599141,57.35107512
,176238,77,16:04:55,4.279998909,18.2589746,0.579898,33.0410254,203.5274254,9849.158511,176238,18.44997668,2.399982509,176238,0.005654790296,807.2224464,,176238,4400,34500,15000,-4450000,,,,,27,76,0,12.3245,5.91177,35.3116,14.4941,0.601936,0.0335727,31.8044,0.09,202.291,9.30E-02,28381.6,13619,176132,1.41421,18.45,0,2.39998,0,0.0063539,8.47E-05,4400,0,3.44E+04,0,2.30E+04,0,-4.15E+06,0,5,806.609,0.224321,0.9695355952,36.42114861
,176237,77,16:04:53,26.08819072,75.65420635,0.952468,33.20579365,203.6921937,60089.97722,176237,18.44997668,2.399982509,176237,0.005769275585,807.1852633,,176237,4400,34500,15000,-4450000,,,,,28,76,0,29.7543,5.72246,70.3662,12.9647,0.762823,0.154275,31.7578,0.10,202.244,1.01E-01,68534.2,13183,176127,1.41421,18.45,0,2.39998,0,0.00333671,0.00011552,4400,0,3.46E+04,0,-9.00E+03,0,-4.15E+06,0,5,809.091,0.196333,0.509145425,138.2045218
,176236,77,16:04:50,15.59151592,40.92388571,0.629348,33.05611429,203.5425143,35907.7588,176236,18.44997668,2.399982509,176236,0.005529980984,806.8500457,,176236,4400,34500,15000,-4450000,,,,,29,76,0,32.5978,4.08387,72.1177,8.47499,0.842142,0.209429,31.6943,0.06,202.181,5.70E-02,75085,9407.33,176122,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00595095,1.94E-04,4400,0,3.50E+04,0,1.50E+04,0,-4.75E+06,0,5,805.675,0.37035,0.9080498356,79.42042075
,176235,77,16:04:48,7.549637946,25.98169524,0.516658,33.07830476,203.5647048,17379.97413,176235,18.44997668,2.399982509,176235,0.005577614809,807.2282236,,176235,4400,34500,15000,-4450000,,,,,30,76,0,16.509,3.95714,46.2019,9.6439,0.785023,0.183345,31.5621,0.09,202.048,9.02E-02,38021.1,9116.21,176117,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00496515,1.63E-04,4400,0,3.46E+04,0,3.00E+03,0,-4.45E+06,0,5,801.566,0.188703,0.7576275454,60.98233925
,176234,77,16:04:45,37.45313963,88.99215873,0.929338,33.14784127,203.6342413,86268.49156,176234,18.44997668,2.399982509,176234,0.005523383135,806.960219,,176234,4400,35300,23000,-4750000,,,,,31,76,0,10.3303,3.48348,31.4834,9.23864,0.557668,0.0423823,31.5166,0.08,202.003,8.35E-02,23787.7,8024.88,176112,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00477913,8.65E-05,4400,0,3.45E+04,0,2.70E+04,0,-5.05E+06,0,5,802.139,0.297475,0.7292429294,43.1727189
,176233,77,16:04:43,51.89453532,114.7115492,0.98645,33.12845079,203.6148508,119539.4878,176233,18.44997668,2.399982509,176233,0.005394672889,807.2683211,,176233,4400,35300,23000,-4750000,,,,,32,76,0,38.5395,12.2604,91.0745,23.5104,0.954505,0.167073,31.5895,0.09,202.076,9.32E-02,88773.6,28244.6,176107,1.41421,18.45,0,2.39998,0,0.00642271,0.000114606,4400,0,3.49E+04,0,2.30E+04,0,-4.45E+06,0,5,803.227,0.298039,0.9800352481,92.92982082
,176232,77,16:04:40,36.00091463,86.57778095,0.949882,33.14221905,203.628619,82923.88953,176232,18.44997668,2.399982509,176232,0.005582261091,805.2666336,,176232,4400,35300,23000,-4750000,,,,,33,76,0,9.69349,4.01855,31.2916,9.24272,0.59816,0.0719046,31.4684,0.06,201.955,5.65E-02,22320.9,9257.84,176102,1.41421,18.45,0,2.39998,0,0.00456713,0.000190742,4400,0,3.45E+04,0,1.10E+04,0,-4.75E+06,0,5,805.597,0.3318,0.6968940498,44.90151697
,176231,77,16:04:38,52.54887426,107.5872857,1.100858,33.31271429,203.7991143,121046.329,176231,18.44997668,2.399982509,176231,0.00557872238,804.9950399,,176231,4400,35300,23000,-4750000,,,,,34,76,0,28.5145,10.5979,68.4658,20.5134,0.789294,0.136935,31.4502,0.13,201.937,1.28E-01,65678.4,24413.8,176097,1.41421,18.45,0,2.39998,0,0.00492169,2.43E-05,4400,0,3.49E+04,0,3.00E+03,0,-4.75E+06,0,5,808.395,0.259604,0.7509960251,91.16666096
,176230,77,16:04:35,56.16397376,116.7200762,1.078522,33.11992381,203.6063238,129375.8255,176230,18.44997668,2.399982509,176230,0.005419234076,805.3693447,,176230,4400,35300,23000,-4750000,,,,,35,76,0,32.7481,12.7428,76.9935,20.8033,0.760688,0.235644,31.4105,0.18,201.897,1.76E-01,75431.6,29355.3,176092,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00218945,5.67E-05,4400,0,3.50E+04,0,-2.10E+04,0,-4.75E+06,0,5,805.68,0.239541,0.334086106,230.4600479
,176229,77,16:04:33,10.55733328,33.65024127,0.607282,33.12975873,203.6161587,24311.14564,176229,18.44997668,2.399982509,176229,0.005337805905,805.0740148,,176229,4400,34400,-13000,-5050000,,,,,36,76,0,23.2523,4.66815,57.421,8.92228,0.69994,0.141393,31.271,0.08,201.757,8.32E-02,53555.7,10754.2,176087,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00618556,6.21E-05,4400,0,3.48E+04,0,2.30E+04,0,-4.75E+06,0,5,800.856,0.176436,0.9438487537,60.83707773
,176228,77,16:04:30,12.55926012,35.26866984,0.48505,33.01133016,203.4977302,28922.45664,176228,18.44997668,2.399982509,176228,0.005215353484,805.1625447,,176228,4400,34400,-13000,-5050000,,,,,37,76,0,11.805,3.06355,35.2575,8.25527,0.586578,0.055931,31.1465,0.09,201.633,8.92E-02,27185,7057.27,176082,1.41421,18.45,0,2.39998,0,0.00502322,0.000186998,4400,0,3.47E+04,0,-5.00E+03,0,-5.05E+06,0,5,801.442,0.286762,0.7664883918,45.99873968
,176227,77,16:04:28,7.454270982,25.28016508,0.48505,32.81983492,203.3062349,17161.31018,176227,18.44997668,2.399982509,176227,0.00552924134,805.6176114,,176227,4400,34400,-13000,-5050000,,,,,38,76,0,12.8229,7.32686,38.7305,17.5622,0.592678,0.0261558,31.0775,0.03,201.564,2.84E-02,29530.2,16878.8,176077,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00470147,0.000100955,4400,0,3.44E+04,0,1.50E+04,0,-5.05E+06,0,5,801.969,0.299768,0.7173928634,53.98785237
,176226,77,16:04:25,17.3520192,47.1249619,0.523858,32.8950381,203.3814381,39963.61727,176226,18.44997668,2.399982509,176226,0.005496229595,804.9335847,,176226,4400,34400,-13000,-5050000,,,,,39,76,0,19.8613,5.83936,54.6099,12.2906,0.870812,0.154693,31.1461,0.10,201.632,9.72E-02,45743.8,13452.7,176072,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00615748,0.000237197,4400,0,3.45E+04,0,2.70E+04,0,-4.15E+06,0,5,804.417,0.223702,0.9395640531,58.12259401
,176225,77,16:04:23,12.92459335,37.43315238,0.509522,33.18684762,203.6732476,29763.91993,176225,18.44997668,2.399982509,176225,0.005351321621,805.322944,,176225,4400,34400,-13000,-5050000,,,,,40,76,0,14.5739,4.43091,39.5694,9.96197,0.63921,0.0672481,30.9746,0.11,201.461,1.14E-01,33563.6,10207.3,176067,1.41421,18.45,0,2.39998,0,0.00455803,4.43E-05,4400,0,3.47E+04,0,-5.00E+03,0,-4.75E+06,0,5,807.715,0.153806,0.6955054894,56.8930089
,176224,77,16:04:20,56.43351116,122.2661587,1.09525,32.93384127,203.4202413,129995.8336,176224,18.44997668,2.399982509,176224,0.002205346242,802.7609931,,176224,4400,35000,-17000,-4450000,,,,,41,76,0,44.3071,7.30967,98.2347,14.2192,0.961108,0.0533731,31.0053,0.09,201.492,9.03E-02,102060,16840,176062,1.41421,18.45,0,2.39998,0,0.00370959,0.000110107,4400,0,3.51E+04,0,3.00E+03,0,-4.45E+06,0,5,806.446,0.310131,0.5660428317,173.5464076
,176223,77,16:04:18,43.91217763,95.96145714,0.955058,32.85854286,203.3449429,101146.7358,176223,18.44997668,2.399982509,176223,0.002190555188,802.7519646,,176223,4400,35000,-17000,-4450000,,,,,42,76,0,26.0001,6.32914,64.5394,13.7404,0.71092,0.186621,30.8366,0.14,201.323,1.43E-01,59886.7,14581,176057,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00236265,3.97E-05,4400,0,3.48E+04,0,-1.70E+04,0,-4.15E+06,0,5,801.916,0.243521,0.3605145303,179.0202463
,176222,77,16:04:15,24.87333338,62.80153651,0.660218,33.03846349,203.5248635,57289.35858,176222,18.44997668,2.399982509,176222,0.002032337777,803.2258414,,176222,4400,35000,-17000,-4450000,,,,,43,76,0,18.484,2.4035,51.2247,5.06928,0.65795,0.0581354,30.8673,0.04,201.354,4.09E-02,42571.6,5536.72,176052,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00194345,5.41E-05,4400,0,3.52E+04,0,-2.10E+04,0,-4.15E+06,0,5,800.542,0.487706,0.2965491985,172.7359246
,176221,77,16:04:13,16.1113378,40.51406349,0.591538,33.02593651,203.5123365,37104.43822,176221,18.44997668,2.399982509,176221,0.002120540033,802.7663387,,176221,4400,35000,-17000,-4450000,,,,,44,76,0,28.1082,3.58131,70.5427,7.32079,0.955466,0.068164,30.7253,0.10,201.212,1.03E-01,64741.8,8249.96,176047,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00210859,2.87E-05,4400,0,3.54E+04,0,-2.10E+04,0,-4.75E+06,0,5,801.452,0.137477,0.321747755,219.2484606
,176220,77,16:04:10,16.76663497,45.73261587,0.560818,33.14738413,203.6337841,38613.52436,176220,18.44997668,2.399982509,176220,0.002115441164,802.8888791,,176220,4400,35000,-17000,-4450000,,,,,45,76,0,11.4386,3.5953,34.0749,8.58828,0.591222,0.0601416,30.6531,0.08,201.14,8.19E-02,26340.6,8282.45,176042,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00472781,0.000132174,4400,0,3.48E+04,0,1.10E+04,0,-5.05E+06,0,5,802.895,0.380895,0.7214120591,47.23361575
,176219,77,16:04:08,28.21942158,68.62500317,0.621268,32.77499683,203.2613968,64997.91231,176219,18.44997668,2.399982509,176219,0.006394529383,802.9345715,,176219,4400,34800,27000,-4450000,,,,,46,76,0,33.4842,9.85182,81.3464,20.0847,0.908515,0.143654,30.6536,0.08,201.14,8.15E-02,77127.9,22695.8,176037,1.41421,18.45,0,2.39998,0,0.00307854,8.21E-05,4400,0,3.52E+04,0,-1.30E+04,0,-5.05E+06,0,5,805.302,0.276351,0.4697515087,173.1690021
,176218,77,16:04:05,48.77144881,106.2238794,0.85945,32.95612063,203.4425206,112344.8242,176218,18.44997668,2.399982509,176218,0.006488790757,803.0132846,,176218,4400,34800,27000,-4450000,,,,,47,76,0,36.7484,11.5885,85.6965,23.5636,0.851037,0.158907,30.6315,0.06,201.118,5.78E-02,84647.2,26696.4,176032,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00570583,0.000112068,4400,0,3.47E+04,0,7.00E+03,0,-4.15E+06,0,5,805.441,0.266839,0.8706472065,98.42850165
,176217,77,16:04:03,19.3492684,44.86582222,0.509522,33.01417778,203.5005778,44564.44858,176217,18.44997668,2.399982509,176217,0.00645527991,802.774255,,176217,4400,34800,27000,-4450000,,,,,48,76,0,7.92769,3.71632,26.2369,9.13876,0.553932,0.0428195,30.5191,0.03,201.005,2.80E-02,18253.2,8561.49,176027,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00430062,1.01E-04,4400,0,3.44E+04,0,2.30E+04,0,-5.05E+06,0,5,802.795,0.17625,0.6562275408,39.9814064
,176216,77,16:04:00,20.3676184,51.72931111,0.660218,32.95068889,203.4370889,46908.93349,176216,18.44997668,2.399982509,176216,0.006552669273,805.3715694,,176216,4400,34800,27000,-4450000,,,,,49,76,0,38.7974,5.75583,87.1852,11.9041,1.03229,0.0575358,30.5988,0.08,201.085,8.01E-02,89367.5,13260.3,176022,1.41421,18.45,0.00E+00,2.39998,0.00E+00,0.00372513,9.25E-05,4400,0,3.48E+04,0,-1.00E+03,0,-4.15E+06,0,5,800.2,0.269753,0.5684140657,153.3832557
,176215,77,16:03:58,21.64979097,55.51126667,0.651898,32.74873333,203.2351333,49863.98713,176215,18.44997668,2.399982509,176215,0.006597191318,805.9382151,,176215,4400,34800,27000,-4450000,,,,,50,76,0,28.6506,4.70397,69.3222,9.26524,0.853505,0.182408,30.4218,0.10,200.908,9.75E-02,65992.2,10837,176017,1.41421,18.45,0,2.39998,0,0.00196786,4.06E-05,4400,0,3.53E+04,0,-5.00E+03,0,-4.45E+06,0,5,800.724,0.527206,0.3002738974,230.8632239
